customer_id,purchase_count,total_spent,avg_spent
3957,11,1150.0,104.55
3958,17,1334.0,78.47
3959,19,2047.0,107.74
3960,15,1434.0,95.6
3961,17,1811.0,106.53
3962,13,1617.0,124.38
3963,14,1592.0,113.71
3964,17,1841.0,108.29
3965,18,1918.0,106.56
3966,13,1644.0,126.46
3967,19,1963.0,103.32
3968,23,2321.0,100.91
3969,13,1135.0,87.31
3970,21,2341.0,111.48
3971,15,1493.0,99.53
3972,18,4938.0,274.33
3973,25,5092.0,203.68
3974,19,3974.0,209.16
3975,11,1010.0,91.82
3976,18,6161.0,342.28
3977,16,1168.0,73.0
3978,24,3110.0,129.58
3979,15,1675.0,111.67
3980,20,4361.0,218.05
3981,13,5096.0,392.0
3982,16,2109.0,131.81
3983,12,1163.0,96.92
3984,14,6327.0,451.93
3985,20,2076.0,103.8
3986,20,6097.0,304.85
3987,16,1797.0,112.31
3988,19,2202.0,115.89
3989,20,2134.0,106.7
3990,19,1925.0,101.32
3991,12,1347.0,112.25
3992,21,2238.0,106.57
3993,15,1642.0,109.47
3994,20,2201.0,110.05
3995,18,1788.0,99.33
3996,14,1421.0,101.5
3997,14,3889.0,277.79
3998,14,1732.0,123.71
3999,19,1871.0,98.47
4000,22,1965.0,89.32
4001,21,4942.0,235.33
4002,22,6320.0,287.27
4003,14,1641.0,117.21
4004,14,1456.0,104.0
4005,16,1847.0,115.44
4006,21,2012.0,95.81
4007,13,1433.0,110.23
4008,21,2094.0,99.71
4009,17,1349.0,79.35
4010,19,6513.0,342.79
4011,17,1732.0,101.88
4012,11,3432.0,312.0
4013,16,1463.0,91.44
4014,12,1002.0,83.5
4015,14,1464.0,104.57
4016,13,1115.0,85.77
4017,22,5012.0,227.82
4018,15,5805.0,387.0
4019,14,3598.0,257.0
4020,13,1644.0,126.46
4021,13,1237.0,95.15
4022,11,1254.0,114.0
4023,17,1951.0,114.76
4024,14,1375.0,98.21
4025,12,1530.0,127.5
4026,15,1484.0,98.93
4027,11,1087.0,98.82
4028,16,1287.0,80.44
4029,22,1912.0,86.91
4030,11,1236.0,112.36
4031,17,2219.0,130.53
4032,16,1500.0,93.75
4033,18,2338.0,129.89
4034,21,2524.0,120.19
4035,12,5151.0,429.25
4036,13,1856.0,142.77
4037,13,1572.0,120.92
4038,16,1448.0,90.5
4039,10,1093.0,109.3
4040,18,9657.0,536.5
4041,11,896.0,81.45
4042,20,2221.0,111.05
4043,15,1899.0,126.6
4044,18,8745.0,485.83
4045,14,1572.0,112.29
4046,8,928.0,116.0
4047,17,1836.0,108.0
4048,16,1762.0,110.12
4049,19,2069.0,108.89
4050,10,1004.0,100.4
4051,21,2093.0,99.67
4052,19,2145.0,112.89
4053,13,1843.0,141.77
4054,16,5315.0,332.19
4055,15,4128.0,275.2
4056,19,1976.0,104.0
4057,18,1680.0,93.33
4058,14,1402.0,100.14
4059,17,1664.0,97.88
4060,17,5033.0,296.06
4061,15,1284.0,85.6
4062,17,1405.0,82.65
4063,18,1774.0,98.56
4064,14,1525.0,108.93
4065,24,2857.0,119.04
4066,14,1392.0,99.43
4067,20,6528.0,326.4
4068,23,5827.0,253.35
4069,15,1145.0,76.33
4070,21,4964.0,236.38
4071,16,2016.0,126.0
4072,17,1848.0,108.71
4073,23,2536.0,110.26
4074,18,1798.0,99.89
4075,25,7416.0,296.64
4076,11,928.0,84.36
4077,19,2374.0,124.95
4078,28,3046.0,108.79
4079,6,802.0,133.67
4080,14,4371.0,312.21
4081,24,4517.0,188.21
4082,21,2690.0,128.1
4083,17,4275.0,251.47
4084,21,2292.0,109.14
4085,14,1423.0,101.64
4086,18,1851.0,102.83
4087,9,1029.0,114.33
4088,18,1970.0,109.44
4089,11,1328.0,120.73
4090,19,1862.0,98.0
4091,14,1672.0,119.43
4092,15,1940.0,129.33
4093,18,1792.0,99.56
4094,15,1667.0,111.13
4095,17,1520.0,89.41
4096,10,3293.0,329.3
4097,8,3926.0,490.75
4098,17,1595.0,93.82
4099,16,6002.0,375.12
4100,15,1748.0,116.53
4101,8,943.0,117.88
4102,19,4085.0,215.0
4103,20,6375.0,318.75
4104,15,1845.0,123.0
4105,22,1958.0,89.0
4106,17,1952.0,114.82
4107,18,2083.0,115.72
4108,19,6864.0,361.26
4109,13,9685.0,745.0
4110,21,4467.0,212.71
4111,22,2341.0,106.41
4112,7,885.0,126.43
4113,18,2051.0,113.94
4114,15,1447.0,96.47
4115,22,4807.0,218.5
4116,17,1968.0,115.76
4117,20,1998.0,99.9
4118,19,1899.0,99.95
4119,13,1357.0,104.38
4120,18,2081.0,115.61
4121,17,2035.0,119.71
4122,28,5652.0,201.86
