item_purchased,total_revenue,units_sold,avg_price
Backpack,6168.0,55,112.15
Belt,10484.0,69,151.94
Blazer,9985.0,54,184.91
Blouse,10472.0,57,183.72
Boots,11891.0,52,228.67
Bowtie,8705.0,44,197.84
Camisole,6136.0,62,98.97
Cardigan,9270.0,61,151.97
Coat,5554.0,52,106.81
Dress,4107.0,44,93.34
Flannel Shirt,5426.0,53,102.38
Flip-Flops,11309.0,41,275.83
Gloves,12330.0,52,237.12
Handbag,12668.0,59,214.71
Hat,5783.0,56,103.27
Hoodie,9579.0,62,154.5
Jacket,7899.0,50,157.98
Jeans,13068.0,48,272.25
Jumpsuit,5254.0,46,114.22
Kimono,9130.0,61,149.67
Leggings,8087.0,49,165.04
Loafers,11005.0,60,183.42
Onesie,9549.0,59,161.85
Overalls,5574.0,54,103.22
Pajamas,12798.0,61,209.8
Pants,9295.0,71,130.92
Polo Shirt,4556.0,43,105.95
Poncho,11422.0,60,190.37
Raincoat,6777.0,55,123.22
Romper,9461.0,48,197.1
Sandals,5571.0,47,118.53
Scarf,9175.0,59,155.51
Shorts,12702.0,74,171.65
Skirt,7357.0,70,105.1
Slippers,11284.0,46,245.3
Sneakers,6436.0,59,109.08
Socks,8033.0,59,136.15
Sun Hat,4077.0,42,97.07
Sunglasses,5495.0,59,93.14
Sweater,10870.0,51,213.14
Swimsuit,9026.0,49,184.2
T-shirt,9043.0,63,143.54
Tank Top,8296.0,66,125.7
Tie,4743.0,46,103.11
Trench Coat,9992.0,56,178.43
Trousers,6458.0,40,161.45
Tunic,17275.0,54,319.91
Umbrella,5815.0,54,107.69
Vest,6190.0,58,106.72
Wallet,9372.0,60,156.2
